name,kills
JimmyHenadezJunior,4
ToothlessXD123,73
Haloinqsss,59
jayneeddollar,57
wninju,60
Gariksz,54
farishmueid,41
GildedMikado,61
haya201215,6
XD_zaTH,57
FellSawp,38
officerngelo,18
ICKATA2008,78
takutoa02,47
Tutel_54371,30
elementhknight123,67

aryafariziii160,42
Cogus_0828,32
Oscarchoyzy24,11
MAMAD_ALI8393,11
jgwen19,48
raka6792,29
rttt_1234567,15
Kazuyuki_Owen,45
GRADE4092,17
Governah5,33
polkomgyy44,51
mrflipsflapz,51
supermanakmeeee_twin,39
igichchcj,20
imnotharingyou,15
spikey_001,47
Donnban_me,32
HarArkhichen,32
Xernicus,45
nickthegodrider1289,50
r4_bt,48
pensmen,53
PhuyerThroned000,71
Gariksz,60
Dawnftb,46
jesterproandnoob,49
ToothlessXD123,56
JEJU_0P3RAT0R,43
Indonesia_ofMalaysia,39
David_Theusless,35

nickthegodrider1289,58
jamesplayztv1,49
SeaV1per1224,62
114514adlingyang,32
HarArkhichen,58
Kazuyuki_Owen,52
jellyy112345,43
anathaliakdc,35
Oscarchoyzy24,14
abigbadxmas3,57
mrflipsflapz,58
commander_cookie1234,45
polkomgyy44,57
CMDKMOMM,47
jesterproandnoob,56
pensmen,59
kite_167,46
memeisgod1234567,23
Luqman_indo,21
raka6792,27


