name,kills
jgwen19,53
L1MEO1,63
ViktorInvicta,72
pancake_w1,41
camper8903,58
KusakabeMisaoMyWaifu,51
shanniquecloud,30
nickthegodrider1289,52
Airsight21,52
Scornful_X,59
BasedArtyom,21
anathaliakdc,25
tris_thestudent,37
braydengames77,23
diwdwoa,25
NicholasGXY,40
jiajun129,40
spikey_001,42
OblivionSectis,126
tsogoo125,49
mrflipsflapz,46
5xmars,74
Daptopeu123,11
Oscarchoyzy24,26
kylemanike,50
pensmen,63
Logiclist,58

buddyboil1,81
diwdwoa,60
kylemanike,49
L1MEO1,53
anathaliakdc,45
Dawnftb,19
Mitzuki525,25
burnfield1k22,75
KusakabeMisaoMyWaifu,53
Luqman_indo,25
camper8903,37
Daptopeu123,24
jellyy112345,26
GGXDArusha,47
pancake_w1,26
5xmars,76
Mitsubira_Aratoshi,67
mrflipsflapz,49
ConesOdebrecht,80
spikey_001,52
tsogoo125,50
fliqpy82929,38
theDogeboiiz,52
kea44448,13
pensmen,71
3ckr12,37
imnotharingyou,9
BasedArtyom,16
tris_thestudent,36
ViktorInvicta,66
MarionnJames2307,52
FrailBailen,15

jellyy112345,43
mrflipsflapz,56
Dawnftb,24
anathaliakdc,36
pensmen,70
Akari_4757,25
spikey_001,47
5xmars,90
tsogoo125,43
officerngelo,11
GGXDArusha,49
MrDerps124,68
DRDanger46,51
jgwen19,45
Sumardisam,65
buddyboil1,72
chickenkampong,39
polkomgyy44,54
lichfireiceking,77
ConesOdebrecht,86
Oscarchoyzy24,100
kaaalpii,18
WHATINTHEWORLD5672,7
coffeekhung36

Dawnftb,48
chickenkampong,46
SZYMON090901,41
kylemanike,41
jamesplayztv1,42
diwdwoa,55
tsogoo125,24
Kazuyuki_Owen,51
jgwen19,43
Mitsubira_Aratoshi,68
snowsoldier_9775,17
takutoa02,30
Scornful_X,49
officerngelo,14
GGXDArusha,48
Awesomegunner778,49
fliqpy82929,27
SireHalo,15
elementhknight123,54
Wepingbell2,34
Mitzuki525,31
Elementalmoron,39
rg66666666,36
FrailBailen,58
star_dustriver,37
anathaliakdc,28
Luqman_indo,35
Sumardisam,48
TYT012017,21
burnfield1k22,59
ViktorInvicta,52
jellyy112345,39
spikey_001,42
infantry154111,14
camper8903,45
ChickenDonkeyDog,59
pensmen,26
Logiclist,8

Kazuyuki_Owen,62
takutoa02,43
officerngelo,17
intxerunit,47
rg66666666,62
tsogoo125,85
burnfield1k22,73
pensmen,81
KisarakiTH,44
Itme_NEWBIE,18
camper8903,56
Luqman_indo,32
Sumardisam,62
Dawnftb,44

Dawnftb,39
Kazuyuki_Owen,60
chickenkampong,56
rg66666666,46
kylemanike,9
diwdwoa,59
SireHalo,51
jamesplayztv1,45
nickthegodrider1289,58
officerngelo,14
jssinsnsm,17
Oscarchoyzy24,72
KingPandapandapanda,18
Tutel_54371,22
takutoa02,18
anathaliakdc,25
Awesomegunner778,59
CommanderHikari,43
Indonesia_ofMalaysia,49
burnfield1k22,65
BejzMunro,15
Mitzuki525,26
ConesOdebrecht,0
Sumardisam,56
chanmeme1,41
pancake_w1,24
Scornful_X,42
spikey_001,57
theDogeboiiz,42
GGXDArusha,28
acid_w,103
camper8903,41

FrailBailen,72
Dawnftb,31
Oscarchoyzy24,75
Indonesia_ofMalaysia,60
jamesplayztv1,38
jgwen19,61
